N,종목명,현재가,전일비,등락률,액면가,상장주식수,시가총액,매출액,외국인비율,PER,ROE,토론실
1,삼성전자,"61,800","1,600",2.66%,100,"3,689,326","5,969,783",49.86,"17,213,385",9.37,13.92,
2,LG에너지솔루션,"587,000",0,0.00%,500,"1,373,580","234,000",4.9,"357,405",975.08,10.68,
3,SK하이닉스,"87,700","1,200",1.39%,"5,000","638,458","728,002",50.81,"2,651,756",5.56,16.84,
4,삼성바이오로직스,"894,000","11,000",1.25%,"2,500","636,296","71,174",10.72,"64,262",118.9,8.21,
5,삼성SDI,"726,000","14,000",-1.89%,"5,000","499,230","68,765",46.84,"330,827",33.87,8.45,
6,LG화학,"691,000","13,000",-1.85%,"5,000","487,793","70,592",48.27,"256,204",24.36,18.47,
7,삼성전자우,"55,400","1,300",2.40%,100,"455,879","822,887",71.57,"945,858",8.4,N/A,
8,현대차,"170,000",500,0.29%,"5,000","363,236","213,668",29.05,"757,060",7.54,6.84,
9,NAVER,"178,000","9,000",5.33%,100,"292,007","164,049",49.4,"2,481,739",29.04,106.72,
10,기아,"67,300",200,0.30%,"5,000","272,810","405,363",36.87,"1,521,805",5.15,14.69,
11,셀트리온,"188,000","5,000",2.73%,"1,000","264,689","140,792",21.62,"306,071",47.04,16.04,
12,POSCO홀딩스,"273,000","3,500",-1.27%,"5,000","230,879","84,571",52.89,"548,020",3.29,13.97,
13,카카오,"51,400","1,550",3.11%,100,"228,895","445,322",27.13,"4,305,879",10.28,17.1,
14,삼성물산,"121,000",500,0.41%,100,"226,133","186,887",16.83,"205,939",14.41,5.4,
15,현대모비스,"218,000","3,000",-1.36%,"5,000","205,542","94,285",36.43,"135,574",8.69,6.87,
16,KB금융,"47,650",200,0.42%,"5,000","194,839","408,897",73.31,"1,045,220",4.21,9.8,
17,신한지주,"36,550",50,-0.14%,"5,000","187,477","512,934",61.66,"1,003,588",4.54,8.8,
18,SK이노베이션,"185,500","4,000",2.20%,"5,000","171,524","92,466",25.96,"526,895",6.78,1.91,
19,SK,"224,000","2,000",0.90%,200,"166,094","74,149",22.7,"82,360",5.03,10.19,
20,포스코케미칼,"212,000","2,500",-1.17%,500,"164,222","77,463",8.66,"885,453",119.77,7.92,
21,LG전자,"91,400",500,0.55%,"5,000","149,574","163,648",26.2,"962,649",8.97,6.32,
22,삼성생명,"67,700",400,0.59%,500,"135,400","200,000",13.24,"192,999",18.55,4.01,
23,LG,"81,800",200,0.25%,"5,000","128,672","157,301",36.28,"107,858",5.62,12.36,
24,KT&G,"93,600","1,200",-1.27%,"5,000","128,506","137,292",43.65,"729,139",12.14,10.74,
25,하나금융지주,"40,800",0,0.00%,"5,000","120,729","295,903",70.7,"895,692",3.49,10.86,
26,고려아연,"589,000","6,000",-1.01%,"5,000","116,994","19,863",21.34,"64,644",13.04,11.07,
